1413815114.473378;m3-28;Acc;-8.011432E-2;-5.589371E-3;-9.9397653E-1
1413815114.473969;m3-28;Acc;-8.477213E-2;-3.7262475E-3;-9.855924E-1
1413815114.474409;m3-29;Acc;-6.577981E-2;1.8215949E-2;-9.927692E-1
1413815114.475003;m3-30;Acc;-1.2600759E-1;6.647644E-2;-9.8027945E-1
1413815114.475463;m3-26;Acc;-7.8225225E-2;3.960771E-2;-9.961339E-1
1413815114.475950;m3-26;Acc;-7.7235036E-2;3.7627324E-2;-9.951437E-1
1413815114.476440;m3-27;Acc;-7.287812E-2;9.983304E-3;-9.963338E-1
1413815114.476881;m3-24;Acc;-7.0098415E-2;3.850476E-2;-9.863143E-1
1413815114.477346;m3-25;Acc;-6.033451E-2;2.0452376E-2;-9.909177E-1
1413815114.477641;m3-25;Acc;-5.9311893E-2;1.840714E-2;-9.909177E-1
1413815114.478106;m3-22;Acc;-3.9984044E-2;2.598963E-2;-9.866063E-1
1413815114.478433;m3-22;Acc;-4.2982846E-2;2.3990426E-2;-9.886055E-1
1413815114.478997;m3-23;Acc;-9.059429E-2;-2.3447935E-2;-9.8268163E-1
1413815114.479613;m3-31;Acc;-1.4086963E-1;1.298798E-2;-9.8408926E-1
1413815114.480163;m3-28;Acc;-8.011432E-2;-5.589371E-3;-9.855924E-1
1413815114.480815;m3-30;Acc;-1.2402321E-1;6.8460815E-2;-9.773029E-1
1413815114.481292;m3-30;Acc;-1.2402321E-1;6.746863E-2;-9.83256E-1
1413815114.481735;m3-26;Acc;-8.020561E-2;3.5646938E-2;-9.872222E-1
1413815114.482198;m3-27;Acc;-7.5873114E-2;8.984974E-3;-9.8934543E-1
1413815114.482871;m3-24;Acc;-7.207301E-2;3.5542857E-2;-9.823651E-1
1413815114.483392;m3-25;Acc;-6.237975E-2;1.4316664E-2;-9.909177E-1
1413815114.483816;m3-22;Acc;-4.498205E-2;2.4990028E-2;-9.8960507E-1
1413815114.484462;m3-23;Acc;-8.952848E-2;-2.6645381E-2;-9.9014235E-1
1413815114.484909;m3-31;Acc;-1.4086963E-1;1.1988904E-2;-9.850883E-1
1413815114.485238;m3-31;Acc;-1.3887148E-1;1.1988904E-2;-9.81092E-1
1413815114.485700;m3-29;Acc;-6.577981E-2;1.9227944E-2;-9.8770916E-1
1413815114.485994;m3-29;Acc;-6.8815805E-2;2.125194E-2;-9.8770916E-1
1413815114.486597;m3-30;Acc;-1.21046655E-1;6.647644E-2;-9.812716E-1
1413815114.487220;m3-26;Acc;-7.624484E-2;3.663713E-2;-9.8821235E-1
1413815114.487819;m3-27;Acc;-7.387645E-2;9.983304E-3;-9.853521E-1
1413815114.488137;m3-27;Acc;-7.387645E-2;6.988313E-3;-9.853521E-1
1413815114.488636;m3-24;Acc;-7.306032E-2;3.0606348E-2;-9.922381E-1
1413815114.489235;m3-25;Acc;-6.340237E-2;1.738452E-2;-9.929629E-1
1413815114.489724;m3-22;Acc;-3.798484E-2;2.4990028E-2;-9.886055E-1
1413815114.490335;m3-23;Acc;-9.166011E-2;-3.090864E-2;-9.837474E-1
1413815114.490982;m3-31;Acc;-1.3487518E-1;1.698428E-2;-9.8408926E-1
1413815114.491481;m3-28;Acc;-7.918276E-2;-8.384056E-3;-9.8652405E-1
1413815114.492108;m3-29;Acc;-6.98278E-2;1.7203951E-2;-9.8973316E-1
1413815114.492408;m3-29;Acc;-6.98278E-2;1.5179956E-2;-9.907452E-1
1413815114.493083;m3-30;Acc;-1.22038834E-1;7.044518E-2;-9.8027945E-1
1413815114.493536;m3-26;Acc;-7.525465E-2;3.465675E-2;-9.941535E-1
1413815114.494113;m3-27;Acc;-7.5873114E-2;1.19799655E-2;-9.8235714E-1
1413815114.494668;m3-24;Acc;-7.0098415E-2;3.2580953E-2;-9.9026346E-1
1413815114.494976;m3-24;Acc;-6.911111E-2;3.2580953E-2;-9.873016E-1
1413815114.495480;m3-25;Acc;-5.9311893E-2;1.5339282E-2;-9.909177E-1
1413815114.496135;m3-22;Acc;-4.598165E-2;2.2990825E-2;-9.856067E-1
1413815114.496716;m3-23;Acc;-8.633103E-2;-2.451375E-2;-9.890765E-1
1413815114.497143;m3-31;Acc;-1.3587424E-1;1.698428E-2;-9.850883E-1
1413815114.497602;m3-28;Acc;-7.82512E-2;-8.384056E-3;-9.8838717E-1
1413815114.498116;m3-28;Acc;-7.82512E-2;-6.520933E-3;-9.93045E-1
1413815114.498445;m3-28;Acc;-8.197744E-2;-1.3041866E-2;-9.9397653E-1
1413815114.498978;m3-29;Acc;-6.577981E-2;2.125194E-2;-9.9175715E-1
1413815114.499280;m3-29;Acc;-6.780381E-2;2.3275934E-2;-9.866972E-1
1413815114.499799;m3-30;Acc;-1.2303102E-1;6.945299E-2;-9.812716E-1
